"PLT_CN","ABCO_met","ABMA_met","ABSH_met","ACMA_met","CADE_met","JUNIPER_met","PICO_met","PIJE_met","PILA_met","PIMO_met","PIPO_met","POBA_met","PSME_met","QUCH_met","QUKE_met","hardwood.ba","conifer.ba","AB_PI","INVYR","ELEV_met","COND_STATUS_CD","STDAGE","FORTYPCD","OWNGRPCD","DSTRBCD1","CONDPROP_UNADJ","GSSTKCD","BALIVE","x.coord","y.coord","number.conditions","MEANING","DENS_12plus","DENS_12_24","DENS_24_36","DENS_36plus","BALIVE_sqmha"
30763190020004,28.3483704050134,0,0,0,0,0,0,0,4.23693830730497,0,5.31901138056714,0,18.3522831708961,0,0,0,56.2566032637816,0.747892861171101,2012,1676.31819567205,1,130,371,10,0,1,2,250.2332,-122.757496,40.002204,1,"California mixed conifer",145.951771682728,74.351939708426,56.7860736347912,14.8137583395107,56.2566032637816
30763204020004,0,0,0,0,1.26514385844266,0,0,0,2.45021636399202,0,11.5625825722453,0,3.25009913214482,1.21535011639534,0,1.21535011639534,18.5280419268248,0,2012,1554.40414507772,1,80,371,10,0,1,2,151.8782,-122.749007,39.8213,1,"California mixed conifer",158.579718309859,148.703879416852,9.87583889300716,0,19.7433920432202
30763205020004,6.70036129055016,0,0,0,0,0,0,0,7.20196398088517,0,0,0,6.66263080090125,0,0,0,20.5649560723366,0.481959755632907,2012,1432.49009448339,1,150,371,40,0,1,3,116.4965,-122.901684,39.949474,1,"California mixed conifer",108.974005436126,89.2223276501112,19.7516777860143,0,20.5649560723366
30764042020004,13.5317619971723,23.0255956447612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5573576419335,1,2012,1981.10332215788,1,95,262,10,22,1,2,277.0684,-121.384744,40.07026,1,"Red fir",163.461008154188,133.833491475167,27.1585569557697,2.46895972325179,36.5573576419335
44540717020004,3.9096511130002,0,0,0,0,0,0,7.70774154666002,0,0,0,0,0,0,0,0,11.6173926596602,0.336534300555745,2013,1676.31819567205,1,36,225,40,0,1,2,195.799,-121.05102,40.376667,1,"Jeffrey pine",106.561675315048,104.092715591796,2.46895972325179,0,11.6173926596602
44540782020004,0,0,0,0,0,0,0,33.3594217850851,0,0,0,0,0,0,0,0,33.3594217850851,0,2013,1737.27522096922,1,90,225,10,0,1,2,189.1105,-120.371517,40.084843,1,"Jeffrey pine",183.325945144551,163.574267358537,14.8137583395107,4.93791944650358,33.3594217850851
44540783020004,0,0,0,0,0,1.09614774238867,0,12.0088664334602,0,0,2.23854797523127,0,0,0,0,0,15.3435621510802,0,2013,1737.27522096922,1,85,371,10,22,1,3,74.9962,-120.379175,39.936093,1,"California mixed conifer",44.5545342228812,29.7407758833704,12.344798616259,2.46895972325179,15.3435621510802
44540980020004,43.796428684784,0,0,0,4.21762160585491,0,0,0,2.82275308592545,0,0,0,0,0,0,0,50.8368033765643,0.939450823058011,2013,1615.36117037489,1,135,261,10,22,1,2,247.5501,-120.967742,39.768696,1,"White fir",158.409829503336,104.092715591796,34.5654361255251,19.7516777860143,50.8368033765643
44541162020004,9.61248167756497,0,0,0,0,0,0,0,4.22541584484674,0,0,0,10.501161402186,2.87376915736162,0,2.87376915736162,24.3390589245977,0.694649000109785,2013,1493.44711978055,1,230,371,10,0,1,3,129.6343,-122.892656,40.215524,1,"California mixed conifer",103.979456387447,74.351939708426,22.2206375092661,7.40687916975537,27.2128280819593
44541362020004,0,0,0,0,0,0,33.3855448738516,0,0,1.92246218369262,0,0,0,0,0,0,35.3080070575442,0,2013,2103.01737275221,1,180,281,10,0,1,2,210.8022,-121.192179,40.497765,1,"Lodgepole pine",329.617494440326,327.148534717074,0,2.46895972325179,35.3080070575442
