site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110
lassen,27060815,1757.3189257329054,13.341190797149546,71.8045654296875,NE,444.55999755859375,47.96269989013672,390.88330078125,463.697998046875,1141.65673828125,14.65999984741211
lassen,27062607,1474.046475210635,18.223113696707752,159.15200805664062,SW,505.7567138671875,68.98930358886719,400.1133117675781,287.22869873046875,1034.0400390625,15.623299598693848
lassen,27071908,1447.8603996360528,11.421255896300641,313.6825866699219,SW,499.71414947509766,77.09182548522949,397.58167266845703,249.03582382202148,1029.7649993896484,15.908324956893921
lassen,27062307,1564.341508811302,15.362048975248568,5.776695251464844,NE,482.75,62.253299713134766,391.239990234375,301.9519958496094,1037.2633056640625,15.473299980163574
lassen,27060108,1418.9287681295898,3.768376564046938,357.0930480957031,NE,539.3375244140625,95.34382629394531,374.4425354003906,222.35540008544922,940.7874755859375,16.33832550048828
lassen,27071612,1404.423347576711,3.3954809041119747,9.630271911621094,NE,511.41668701171875,82.64299774169922,402.9599914550781,217.60499572753906,1002.0999755859375,16.18670082092285
lassen,27060305,1466.6085289907667,2.58386085700554,83.93973541259766,NE,330.8033142089844,0,571.0233154296875,285.8576965332031,983.97998046875,15.899999618530273
lassen,27062606,1427.3879541064673,13.434752954333826,346.6685791015625,NE,565.1100158691406,102.29899978637695,358.5449981689453,256.7126998901367,1027.8049926757812,16.045000553131104
lassen,27040538,1682.362061730256,6.438214188394872,57.21346664428711,NE,428.1544596354167,35.90733210245768,443.19110107421875,450.93398030598956,1498.3699951171875,14.961100260416666
lassen,27041808,1621.630546107199,19.736085773923293,143.54397583007812,SW,541.37664794921875,97.80464935302734,350.2366485595703,404.9879913330078,1524.9683227539062,15.193349838256836
lassen,27070608,1398.2548439554648,10.67075983827362,53.89143753051758,NE,555.197509765625,103.77897644042969,365.6383514404297,203.28042221069336,933.2850341796875,16.517499923706055
lassen,27071614,1385.5388338314194,13.114565762769745,109.81890106201172,NE,517.3974990844727,85.86132621765137,405.0142059326172,202.52875137329102,999.8125,16.295849800109863
lassen,27032415,1177.1922984864018,9.336120244964036,214.67742919921875,SW,566.9049987792969,102.45664978027344,485.0616455078125,61.0880012512207,1465.7550048828125,18.021699905395508
lassen,27071810,1392.3288898847968,3.695453610408502,116.4712905883789,NE,516.143310546875,85.09870147705078,401.7799987792969,213.0133056640625,989.106689453125,16.399999618530273
lassen,27072206,1384.2959170583952,21.804389331359808,283.62176513671875,SW,562.2850189208984,106.11874961853027,373.37667083740234,191.06258010864258,1003.3283386230469,16.414974689483643
lassen,27070732,1430.993614423774,4.556332291630381,207.17144775390625,SW,520.5799865722656,84.14820098876953,400.09669494628906,224.6656494140625,972.691650390625,16.27500057220459
lassen,27070812,1401.8728856810935,2.8210158389961637,42.423091888427734,NE,521.2366943359375,86.711700439453125,399.4967041015625,207.4423065185547,970.353271484375,16.426700592041016
lassen,27072910,1606.3337580174575,15.120843396216262,151.46275329589844,SW,552.7266845703125,100.17900085449219,361.2432861328125,269.2090148925781,1092.4532470703125,15.380000114440918
lassen,27061306,1432.1349314919964,3.421210503596032,133.95994567871094,NE,519.445556640625,83.74763488769531,402.6589050292969,236.35989888509116,999.4100341796875,16.23110008239746
lassen,27040416,1567.9405115012107,7.560811456987413,4.4762420654296875,NE,486.5967102050781,62.34230041503906,449.5367126464844,345.8999938964844,1608.5032958984375,15.850000381469727
lassen,27040415,1563.0682195598324,8.314794871007523,299.1941223144531,SW,493.2266540527344,67.19135093688965,432.41835021972656,372.3537902832031,1612.0982666015625,15.683300018310547
lassen,27072109,1368.464087463379,14.736160213172436,6.9005126953125,NE,535.4300231933594,89.85015106201172,410.5983428955078,175.6709976196289,1003.4133605957031,16.484999656677246
lassen,27070815,1390.8734381828272,0.04453698317696257,NA,NA,523.8800048828125,88.35200119018555,402.51829528808594,199.53784942626953,982.1533203125,16.438350677490234
lassen,27062209,1639.3104774960293,16.899150359433595,143.4305419921875,SW,477.5616760253906,58.02785015106201,384.37835693359375,329.7366485595703,1048.8916320800781,15.067499876022339
lassen,27072106,1472.650817811721,14.477487205241442,28.11602783203125,NE,499.58667755126953,75.90482330322266,399.00164794921875,248.67617416381836,1034.7816772460938,15.695000171661377
lassen,27040210,1360.9696744036075,20.989874974860225,231.59303283691406,SW,438.6000061035156,33.756574630737305,489.20664978027344,452.26599884033203,1677.280029296875,16.36917495727539
lassen,27072905,1567.4487275681915,11.00545949798503,201.90609741210938,SW,550.6533508300781,101.25600051879883,359.80169677734375,266.6103057861328,1080.2999877929688,15.438349723815918
lassen,27062505,1483.943373135431,20.551525963690572,214.20977783203125,SW,511.30999755859375,71.84529876708984,400.80670166015625,278.9440002441406,1033.7166748046875,15.6766996383667
lassen,27040331,1454.716278452932,2.982289391614739,297.84808349609375,SW,472.4866943359375,55.09469985961914,437.1300048828125,455.5076904296875,1627.67333984375,15.9266996383667
lassen,27040315,1525.289691622642,10.153244321438223,20.68958282470703,NE,484.99000549316406,61.022701263427734,451.17335510253906,380.33485412597656,1653.23828125,16.050000190734863
lassen,27070913,1382.7871804183683,4.731844925026469,270,SW,537.1766662597656,95.99300003051758,390.26670837402344,197.4116973876953,981.7283630371094,16.4350004196167
lassen,27062310,1581.3636456298827,15.025583294391632,11.07794189453125,NE,481.0633544921875,61.28650093078613,390.0899963378906,303.8077087402344,1037.7283935546875,15.408349990844727
lassen,27062415,1464.1246596034327,13.524763975892578,162.09628295898438,SW,493.79833984375,69.15900039672852,395.19334411621094,273.25364685058594,1033.2933959960938,15.683300018310547
lassen,27040734,1528.658257810034,23.03863922104691,183.60397338867188,SW,549.4932861328125,102.0625,351.5282897949219,330.0622024536133,1474.9583740234375,15.546649932861328
lassen,27070615,1405.5781715770067,2.1496029662751055,209.57717895507812,SW,549.4383544921875,101.78815078735352,369.7116394042969,208.52330017089844,951.6783447265625,16.4399995803833
lassen,27061304,1456.2816791325242,2.9494964896056755,219.48194885253906,SW,511.0966491699219,75.88100051879883,406.98500061035156,255.79535675048828,998.0366516113281,16.033349990844727
lassen,27070816,1391.0312853661653,1.3572058482065823,355.9321594238281,NE,518.3049774169922,84.72614860534668,407.7141418457031,199.79157257080078,982.7508239746094,16.441675186157227
lassen,27070533,1396.6729172641417,4.319194645028137,14.148971557617188,NE,555.4566345214844,103.68080139160156,363.9016571044922,201.31999969482422,924.2132873535156,16.536649703979492
lassen,27062610,1423.7542396316567,17.55516605990516,260.9622497558594,SW,610.3816223144531,124.8499984741211,318.010009765625,234.00035095214844,1021.9616394042969,16.18000030517578
lassen,27070911,1393.1360361735026,6.141617217166897,258.7400817871094,SW,549.15667724609375,102.94779968261719,378.0500030517578,196.68064880371094,980.3600158691406,16.348350524902344
lassen,27072313,1544.4595775388618,19.33123685819272,190.60494995117188,SW,534.1683654785156,100.2801513671875,354.00498962402344,263.38665771484375,1035.2150268554688,15.406650066375732
lassen,27071915,1464.370207612182,10.24483514061228,308.8638916015625,SW,498.1466522216797,74.97249984741211,397.1717071533203,258.12999725341797,1036.675048828125,15.866650104522705
lassen,27040816,1577.881519809846,13.044179130075198,204.27938842773438,SW,455.9700012207031,43.62849998474121,464.24334716796875,368.6751403808594,1573.2232666015625,15.603300094604492
lassen,27070716,1414.674260730278,1.4523473519896066,194.39031982421875,SW,520.34832763671875,85.44849967956543,401.6225051879883,215.5053253173828,980.8983154296875,16.361674785614014
lassen,27060516,1702.124818797161,11.559008587968343,31.72475814819336,NE,362.13165283203125,23.31100082397461,480.42333984375,445.0366516113281,1115.7783203125,14.713300228118896
lassen,27061301,1433.6932640340856,4.04649605757678,58.28203582763672,NE,519.76165771484375,83.38984680175781,402.4200134277344,236.07935333251953,990.2149963378906,16.191699981689453
lassen,27030115,1680.4748495554306,14.18495840139945,6.479240417480469,NE,406.09749603271484,34.394575119018555,410.98085021972656,453.06024169921875,1433.2975463867188,14.80917477607727
lassen,27061214,1458.7468881413965,3.9812965869811583,341.7122497558594,NE,466.1866912841797,48.318848609924316,450.941650390625,257.73085021972656,996.5283508300781,16.009999752044678
lassen,27070507,1402.581843081283,3.068853545471344,56.842647552490234,NE,556.60662841796875,104.28915023803711,367.36669921875,196.53085327148438,935.9599914550781,16.508299827575684
