site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110,tmx_jja_mean8110
lassen,216959065020004,1438.1292724609375,4.945511341094971,103.14114379882812,NE,494.9732971191406,69.71369934082031,404.8999938964844,539.16729736328125,1603.18994140625,16.139999389648438,26.596599578857422
lassen,216960495020004,1754.0225830078125,19.574993133544922,210.30477905273438,SW,362.1199951171875,13.074700355529785,456.79669189453125,608.205322265625,1547.4566650390625,14.130000114440918,23.713699340820313
lassen,216960716020004,1757.775390625,4.5517897605896,214.01905822753906,SW,458.56671142578125,56.50199890136719,383.2132873535156,880.37799072265625,2061.469970703125,14.723299980163574,23.920799255371094
lassen,216961674020004,1731.9285888671875,2.0167722702026367,219.76649475097656,SW,483.6400146484375,72.051300048828125,305.5867004394531,439.6263122558594,956.38330078125,14.476699829101563,24.94099998474121
lassen,273641296489998,1569.6370849609375,6.825382232666016,101.83768463134766,NE,578.27667236328125,115.87799835205078,298.0433044433594,364.5397033691406,968.91998291015625,15.186699867248535,25.926799774169922
lassen,273641671489998,1422.3988037109375,5.767189025878906,356.7180480957031,NE,499.4233093261719,71.69930267333984,411.69329833984375,266.439697265625,1013.7033081054687,16.06999969482422,27.077999114990234
lassen,273641681489998,1524.7625732421875,17.67253875732422,2.1478652954101562,NE,598.336669921875,128.7436981201172,290.0533142089844,284.2716979980469,1246.2366943359375,16.239999771118164,26.39240074157715
lassen,273641912489998,1175.4024658203125,26.671890258789062,229.5974884033203,SW,625.80999755859375,129.48300170898437,400.5199890136719,127.34870147705078,1901.9666748046875,17.343299865722656,27.077600479125977
lassen,273642076489998,2024.381591796875,7.056509494781494,225.28494262695312,SW,375.7333068847656,17.551000595092773,493.2532958984375,1232.8900146484375,2400.11669921875,13.289999961853027,22.72480010986328
lassen,273642194489998,1657.3385009765625,20.92756462097168,10.1888427734375,NE,509.8399963378906,79.641998291015625,326.7200012207031,270.5443115234375,778.18328857421875,14.609999656677246,25.09589958190918
lassen,345933354489998,1912.2392578125,25.437091827392578,239.27056884765625,SW,476.20001220703125,58.862701416015625,454.1632995605469,690.87371826171875,2025.3599853515625,14.873299598693848,24.032899856567383
lassen,345935174489998,1918.1722412109375,11.528949737548828,219.02224731445312,SW,400.3599853515625,31.117300033569336,424.0533142089844,1114.6722412109375,2062.526611328125,13.513299942016602,23.033199310302734
lassen,345935510489998,1153.2493896484375,11.576756477355957,133.51345825195312,NE,717.53997802734375,141.41470336914063,492.1300048828125,20.978700637817383,2113.280029296875,18.523300170898438,27.630199432373047
lassen,345935591489998,1339.250244140625,5.815113544464111,226.8168182373047,SW,633.9932861328125,125.20369720458984,396.0199890136719,94.51300048828125,1102.5333251953125,17.836700439453125,28.596799850463867
lassen,345936732489998,1830.6915283203125,16.50766372680664,256.76922607421875,SW,516.2567138671875,88.5073013305664,264.17669677734375,378.2217102050781,838.413330078125,13.283300399780273,23.218399047851563
lassen,345936733489998,1696.6549072265625,0.23195615410804749,176.00515747070312,SW,491.2167053222656,67.6050033569336,324.6700134277344,383.7560119628906,899.17999267578125,14.526700019836426,24.908100128173828
lassen,345936735489998,1686.5152587890625,13.94436264038086,114.38494873046875,NE,595.2633056640625,120.50599670410156,284.38330078125,232.0717010498047,918.31329345703125,15.756699562072754,26.013099670410156
lassen,345936738489998,1923.5589599609375,4.5943603515625,152.00808715820313,SW,391.6133117675781,20.29800033569336,356.3533020019531,663.23370361328125,1153.18994140625,12.796699523925781,22.866899490356445
lassen,412220907489998,1198.437255859375,4.915153980255127,186.8485107421875,SW,504.9466857910156,49.72700119018555,650.79669189453125,28.511699676513672,1944.333251953125,18.25670051574707,27.48270034790039
lassen,412221203489998,1841.3385009765625,8.070350646972656,190.50697326660156,SW,439.0032958984375,34.41699981689453,431.5433044433594,649.11529541015625,1482.8499755859375,14.270000457763672,24.44809913635254
lassen,412221231489998,1294.755126953125,7.022655010223389,292.0110778808594,SW,487.7532958984375,37.297000885009766,527.36328125,92.57530212402344,1096.4000244140625,17.950000762939453,28.59589958190918
lassen,412221257489998,1523.6876220703125,2.1336400508880615,71.4380874633789,NE,607.896728515625,126.11930084228516,271.2099914550781,280.88299560546875,885.393310546875,15.789999961853027,26.612899780273438
lassen,412221818489998,1839.1776123046875,6.0001654624938965,166.19021606445312,SW,474.92669677734375,62.1702995300293,321.9700012207031,446.1199951171875,942.7833251953125,13.093299865722656,23.12019920349121
lassen,412221914489998,1592.196044921875,16.386524200439453,218.86026000976562,SW,515.42327880859375,69.91629791259766,478.95330810546875,372.6702880859375,1775.1700439453125,16.253299713134766,25.63360023498535
lassen,412222094489998,1521.3917236328125,17.48090934753418,266.38287353515625,SW,555.07672119140625,85.67669677734375,545.86328125,228.58200073242187,2447.793212890625,16.700000762939453,25.908199310302734
lassen,412222203489998,1724.242431640625,14.596600532531738,344.9607849121094,NE,532.88671875,101.8563003540039,251.2866973876953,271.372314453125,682.6500244140625,14.130000114440918,24.67840003967285
lassen,412222243489998,1623.5145263671875,12.660844802856445,246.1187744140625,SW,440.7699890136719,48.8927001953125,378.5267028808594,521.9530029296875,1268.9267578125,14.956700325012207,25.362199783325195
lassen,412222251489998,1414.5587158203125,3.3876748085021973,314.65740966796875,SW,496.70001220703125,74.71399688720703,416.1567077636719,211.85629272460937,1019.22998046875,16.100000381469727,26.8341007232666
lassen,412222299489998,1706.8121337890625,15.89806842803955,168.61160278320312,SW,559.0233154296875,83.8467025756836,503.69329833984375,315.5790100097656,1642.1767578125,15.933300018310547,25.58609962463379
lassen,412222518489998,1687.105224609375,7.17723274230957,266.0306701660156,SW,540.05670166015625,94.66570281982422,402.106689453125,686.46502685546875,2086.243408203125,14.876700401306152,24.496599197387695
lassen,412223017489998,1642.814697265625,2.7894585132598877,263.15936279296875,SW,495.08331298828125,66.87770080566406,374.1099853515625,309.435302734375,960.0067138671875,14.783300399780273,24.968299865722656
lassen,412223117489998,1499.2598876953125,19.185144424438477,214.54327392578125,SW,622.28668212890625,131.29029846191406,315.5267028808594,229.54429626464844,1145.2467041015625,16.70330047607422,27.15570068359375
lassen,412223120489998,1845.8360595703125,23.291458129882813,14.131942749023438,NE,485.9200134277344,84.2406997680664,364.05999755859375,942.53167724609375,2166.956787109375,14.619999885559082,23.684600830078125
lassen,484816145489998,1740.7147216796875,19.506704330444336,4.529472351074219,NE,578.3699951171875,121.08300018310547,229.08670043945312,231.46670532226562,635.6533203125,14.276700019836426,24.94420051574707
lassen,484816190489998,1781.880126953125,10.55335807800293,116.91569519042969,NE,521.32000732421875,81.728302001953125,309.8699951171875,390.52130126953125,897.9866943359375,13.5,23.72319984436035
lassen,484816396489998,1856.8165283203125,10.883096694946289,10.417922973632812,NE,444.7066955566406,46.90169906616211,428.876708984375,981.13201904296875,2183.646728515625,14.193300247192383,23.803600311279297
lassen,484816509489998,1678.6654052734375,11.688924789428711,322.84564208984375,NE,468.510009765625,67.095001220703125,409.8299865722656,578.9202880859375,1706.0799560546875,15.859999656677246,25.9242000579834
lassen,484816511489998,1929.892578125,11.104616165161133,24.59527587890625,NE,548.91668701171875,112.45369720458984,276.17669677734375,409.34368896484375,1090.1400146484375,13.866700172424316,23.399200439453125
lassen,484816518489998,1523.2481689453125,5.832200527191162,111.75898742675781,NE,487.8033142089844,59.6427001953125,407.0267028808594,383.2099914550781,1080.5533447265625,15.693300247192383,26.578100204467773
lassen,484816523489998,1380.192626953125,32.369144439697266,202.0736541748047,SW,535.91668701171875,95.79000091552734,412.86669921875,496.7992858886719,1981.52001953125,17.450000762939453,27.80459976196289
lassen,484816562489998,1870.4007568359375,15.759208679199219,56.82612228393555,NE,196.66000366210937,0,546.030029296875,1138.7559814453125,2172.0966796875,13.789999961853027,23.49970054626465
lassen,484816563489998,1369.0419921875,5.210930824279785,298.1378479003906,SW,496.82330322265625,67.426300048828125,489.4632873535156,83.495697021484375,1269.5233154296875,17.113300323486328,27.184999465942383
