site,id,elev_mean
lassen,28043607,1435.4248608903217
lassen,29063205,1826.3891712477562
lassen,29063109,1784.3495911043053
lassen,28051505,1459.8316790313118
lassen,28062101,1627.6402011609723
lassen,28043601,1408.9594314112808
lassen,29052602,1713.3586494019312
lassen,28052201,1527.1215173951102
lassen,28040331,1423.9098002768292
lassen,28073108,1404.0342827948418
lassen,28040108,1613.3160136337822
lassen,29052505,1703.7001581710674
lassen,28050909,1525.179216259022
lassen,28073213,1393.4263810793084
lassen,28051414,1648.9544159146847
lassen,29052607,1771.488849937545
lassen,28062102,1607.6169786732694
lassen,28052009,1446.2689334617417
lassen,28062507,1422.6600188990274
lassen,28041602,1737.7472720700323
lassen,29052615,1820.8240656729981
lassen,29043509,1702.3291796440544
lassen,29063303,1661.9033590969473
lassen,28041205,1702.2668760033857
lassen,28042201,1759.396869494192
lassen,29062812,1652.8875452333384
lassen,29063107,1773.9000314637158
lassen,28053032,1463.8984468460083
lassen,28052910,1438.4830678430876
lassen,28073014,1411.3029266899155
lassen,28052706,1457.1204514189394
lassen,28073131,1413.0580641904564
lassen,28051008,1677.2727101364555
lassen,28062509,1408.892574012802
lassen,28063213,1746.5187881612053
lassen,29071713,1602.4336276655438
lassen,28043403,1669.0285211714245
lassen,28042306,1767.6530254750194
lassen,28051808,1685.9991500974013
lassen,28041701,1544.5110558805
lassen,28051903,1705.7267418378665
lassen,29052502,1588.0054278763314
lassen,28052001,1455.9800217019458
lassen,28051507,1622.3070059894867
lassen,29063208,1641.8862193657137
lassen,29063304,1617.0655553987383
lassen,28043615,1497.2433374439308
lassen,29052611,1816.3204692951683
lassen,28051513,1432.0047489464932
lassen,28071933,1378.905701310238
lassen,29053414,1660.382704058327
lassen,28052003,1636.4177600879386
lassen,28042103,1411.0917079363796
lassen,29063215,1762.2365010056687
lassen,28042710,1637.1783655415004
lassen,29062915,1597.9224646916343
lassen,29053411,1626.2315718326663
lassen,28040312,1447.7379815175818
lassen,28050812,1556.2006512180324
lassen,29072710,1682.0629446241592
lassen,29063506,1477.6145194447192
lassen,28041204,1775.8936824964271
lassen,29063313,1645.426511169152
lassen,28052902,1436.0121171579658
lassen,28061711,1552.2237574036244
lassen,28041614,1516.8240005136615
lassen,28042709,1554.6265697582348
lassen,29062913,1633.2239253848777
lassen,28053312,1625.892146801659
lassen,28050333,1676.4756735486294
lassen,28052604,1444.0263559850373
lassen,28053114,1481.2228511449557
lassen,28042008,1243.7350526302769
lassen,28052802,1479.4765825890752
lassen,28060732,1696.2239051041602
lassen,28051516,1611.7401755532399
lassen,28040908,1677.1023308389465
lassen,29052911,1625.1803501498314
lassen,28043613,1478.4869053397113
lassen,28072904,1372.666015625
lassen,29053007,1722.5101571409339
lassen,28042112,1258.4765540025467
lassen,29063316,1488.6359723409016
lassen,28050811,1477.1761817503511
lassen,29063202,1631.8235120370632
lassen,28050311,1664.794941659013
lassen,29053009,1606.7604809186846
lassen,28061416,1466.324597209794
lassen,28040316,1590.9079437114444
lassen,28052006,1613.2575614098275
lassen,28042214,1572.3639091390744
lassen,29043605,1682.641230860473
lassen,28062510,1417.4965906269647
lassen,28040213,1555.0900407325564
lassen,28040206,1587.2144401730516
lassen,28073211,1385.8467510108362
lassen,28051405,1660.5401627009094
lassen,29063114,1760.8208426951167
lassen,28042504,1636.7167619888523
lassen,28041102,1619.273384510112
lassen,28042716,1610.7425179108905
lassen,29063510,1459.5365535967683
lassen,29061806,1718.5332400050117
lassen,28042807,1672.059505813509
lassen,28050711,1717.9734116461339
lassen,28041505,1733.1757225093984
lassen,29061807,1729.1651627322362
