site,id,elev_extract,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110,slope,aspect_num,aspect_cat
eldo,13101961010497,2339.17333984375,519.58001708984375,94.41130065917969,324.6600036621094,606.82830810546875,1330.5732421875,12.506699562072754,15.054047584533691,144.22756958007812,SW
eldo,23841482010900,1824.7261962890625,590.16998291015625,122.2030029296875,327.3266906738281,354.0537109375,1353.166748046875,15.600000381469727,17.16028594970703,232.1070556640625,SW
eldo,40224530010497,1910.2388916015625,491.260009765625,68.08470153808594,451.6400146484375,292.9289855957031,1372.166748046875,15.413299560546875,18.616579055786133,32.293514251708984,NE
eldo,11586,1192.065185546875,743.32672119140625,147.8856964111328,478.623291015625,0.3919999897480011,1260.086669921875,20.47330093383789,29.691011428833008,109.5432357788086,NE
eldo,40224537010497,2234.12353515625,435.29669189453125,50.393001556396484,401.0967102050781,499.22430419921875,1264.623291015625,13.123299598693848,23.632978439331055,359.08648681640625,NE
eldo,22953065010497,2228.369873046875,474.2366943359375,70.38829803466797,364.643310546875,568.6123046875,1264.1300048828125,13.886699676513672,4.484811782836914,244.29930114746094,SW
eldo,11922,1302.6475830078125,641.0167236328125,114.8219985961914,566.07000732421875,5.285699844360352,1486.530029296875,19.42329978942871,3.981914520263672,93.68902587890625,NE
eldo,40224531010497,2009.0662841796875,339.7900085449219,10.637700080871582,455.7699890136719,527.7003173828125,1286.6300048828125,14.079999923706055,6.305325984954834,267.66156005859375,SW
eldo,25151519010900,1594.450439453125,652.239990234375,135.08700561523438,442.56329345703125,52.7422981262207,1351.4632568359375,18.463300704956055,6.913794994354248,33.53691482543945,NE
eldo,13157449010497,1802.0526123046875,492.489990234375,54.18870162963867,527.8499755859375,473.9512939453125,1741.2667236328125,15.576700210571289,3.5344467163085938,82.58354187011719,NE
eldo,29880303010497,1715.94921875,503.1133117675781,56.534698486328125,533.63330078125,404.9447021484375,1730.93994140625,16.06999969482422,3.1468279361724854,194.75897216796875,SW
eldo,23839941010900,1527.281982421875,602.1500244140625,110.31770324707031,494.856689453125,59.513301849365234,1394.2867431640625,18.81999969482422,12.349928855895996,36.026004791259766,NE
eldo,22930162010497,1317.5047607421875,663.7633056640625,138.11900329589844,402.239990234375,17.431299209594727,1464.7232666015625,19.18000030517578,25.614852905273438,359.8057556152344,NE
eldo,40224589010497,2277.146240234375,434.2699890136719,55.34669876098633,362.6700134277344,843.78070068359375,1494.9466552734375,11.550000190734863,6.6947784423828125,298.435302734375,SW
eldo,8940469010901,1281.8988037109375,684.28997802734375,131.94070434570312,518.33331298828125,4.853700160980225,1464.7900390625,19.45330047607422,3.5658223628997803,71.51847839355469,NE
eldo,13100282010497,1294.918212890625,632.6099853515625,119.685302734375,516.103271484375,6.6006999015808105,1194.699951171875,19.746700286865234,7.039688587188721,312.07745361328125,SW
eldo,29880695010497,1312.0997314453125,687.68328857421875,142.99969482421875,458.67669677734375,4.142300128936768,1228.6300048828125,19.886699676513672,18.27720832824707,319.1711120605469,NE
eldo,8939349010901,1852.969482421875,528.11669921875,76.275299072265625,492.1600036621094,218.06700134277344,1333.9267578125,16.516700744628906,11.025545120239258,217.68283081054688,SW
eldo,23656157010900,1696.3525390625,545.0333251953125,94.4197006225586,420.1366882324219,313.08599853515625,1554.393310546875,16.303300857543945,2.215174436569214,171.03604125976562,SW
eldo,25153042010900,1247.1732177734375,614.719970703125,112.43170166015625,520.65667724609375,4.316299915313721,1379.5533447265625,18.989999771118164,9.601628303527832,254.6830291748047,SW
eldo,22953266010497,2175.646728515625,400.04998779296875,27.18000030517578,479.56329345703125,549.42669677734375,1404.050048828125,13.696700096130371,8.556292533874512,311.5667724609375,SW
eldo,23842611010900,1945.14794921875,NA,NA,NA,NA,1487.876708984375,13.843299865722656,0.0010196601506322622,180,SW
eldo,8939982010901,1751.5325927734375,512.11669921875,80.052001953125,456.0067138671875,242.48399353027344,1398.2432861328125,16.469999313354492,7.1547040939331055,263.09765625,SW
eldo,22953270010497,2221.847412109375,NA,NA,NA,NA,1440.9300537109375,11.966699600219727,9.533668518066406,267.99603271484375,SW
eldo,23646657010900,2387.554443359375,290.4667053222656,2.424299955368042,507.9932861328125,841.34368896484375,1554.88671875,12.119999885559082,6.965932369232178,253.10997009277344,SW
